aÃ±o,mun,cvegeo,sexo,pob
2016,Aguascalientes,01001,Hombres,425135
2017,Aguascalientes,01001,Hombres,430305
2018,Aguascalientes,01001,Hombres,435311
2016,Asientos,01002,Hombres,24768
2017,Asientos,01002,Hombres,25076
2018,Asientos,01002,Hombres,25379
2016,Calvillo,01003,Hombres,28385
2017,Calvillo,01003,Hombres,28687
2018,Calvillo,01003,Hombres,28985
2016,Cosío,01004,Hombres,8036
2017,Cosío,01004,Hombres,8137
2018,Cosío,01004,Hombres,8238
2016,Jesús María,01005,Hombres,55814
2017,Jesús María,01005,Hombres,56642
2018,Jesús María,01005,Hombres,57438
2016,Pabellón de Arteaga,01006,Hombres,21771
2017,Pabellón de Arteaga,01006,Hombres,22035
2018,Pabellón de Arteaga,01006,Hombres,22302
2016,Rincón de Romos,01007,Hombres,26222
2017,Rincón de Romos,01007,Hombres,26544
2018,Rincón de Romos,01007,Hombres,26864
2016,San José de Gracia,01008,Hombres,4468
2017,San José de Gracia,01008,Hombres,4528
2018,San José de Gracia,01008,Hombres,4588
2016,Tepezalá,01009,Hombres,10651
2017,Tepezalá,01009,Hombres,10790
2018,Tepezalá,01009,Hombres,10927
2016,El Llano,01010,Hombres,10446
2017,El Llano,01010,Hombres,10565
2018,El Llano,01010,Hombres,10682
2016,San Francisco de los Romo,01011,Hombres,20301
2017,San Francisco de los Romo,01011,Hombres,20629
2018,San Francisco de los Romo,01011,Hombres,20943
2016,Ensenada,02001,Hombres,264849
2017,Ensenada,02001,Hombres,268497
2018,Ensenada,02001,Hombres,272046
2016,Mexicali,02002,Hombres,522555
2017,Mexicali,02002,Hombres,528857
2018,Mexicali,02002,Hombres,535044
2016,Tecate,02003,Hombres,58887
2017,Tecate,02003,Hombres,59574
2018,Tecate,02003,Hombres,60249
2016,Tijuana,02004,Hombres,872663
2017,Tijuana,02004,Hombres,884648
2018,Tijuana,02004,Hombres,896456
2016,Playas de Rosarito,02005,Hombres,54403
2017,Playas de Rosarito,02005,Hombres,55271
2018,Playas de Rosarito,02005,Hombres,56087
2016,Comondú,03001,Hombres,41905
2017,Comondú,03001,Hombres,42837
2018,Comondú,03001,Hombres,43793
2016,Mulegé,03002,Hombres,35170
2017,Mulegé,03002,Hombres,36001
2018,Mulegé,03002,Hombres,36860
2016,La Paz,03003,Hombres,148804
2017,La Paz,03003,Hombres,152497
2018,La Paz,03003,Hombres,156237
2016,Los Cabos,03008,Hombres,161736
2017,Los Cabos,03008,Hombres,167086
2018,Los Cabos,03008,Hombres,172350
2016,Loreto,03009,Hombres,11648
2017,Loreto,03009,Hombres,11990
2018,Loreto,03009,Hombres,12320
2016,Calkiní,04001,Hombres,28683
2017,Calkiní,04001,Hombres,29059
2018,Calkiní,04001,Hombres,29437
2016,Campeche,04002,Hombres,140821
2017,Campeche,04002,Hombres,142813
2018,Campeche,04002,Hombres,144761
2016,Carmen,04003,Hombres,124685
2017,Carmen,04003,Hombres,126585
2018,Carmen,04003,Hombres,128445
2016,Champotón,04004,Hombres,46428
2017,Champotón,04004,Hombres,47068
2018,Champotón,04004,Hombres,47706
2016,Hecelchakán,04005,Hombres,15313
2017,Hecelchakán,04005,Hombres,15502
2018,Hecelchakán,04005,Hombres,15693
2016,Hopelchén,04006,Hombres,21189
2017,Hopelchén,04006,Hombres,21468
2018,Hopelchén,04006,Hombres,21752
2016,Palizada,04007,Hombres,4422
2017,Palizada,04007,Hombres,4460
2018,Palizada,04007,Hombres,4500
2016,Tenabo,04008,Hombres,5481
2017,Tenabo,04008,Hombres,5543
2018,Tenabo,04008,Hombres,5605
2016,Escárcega,04009,Hombres,29943
2017,Escárcega,04009,Hombres,30399
2018,Escárcega,04009,Hombres,30858
2016,Calakmul,04010,Hombres,15273
2017,Calakmul,04010,Hombres,15521
2018,Calakmul,04010,Hombres,15774
2016,Candelaria,04011,Hombres,23369
2017,Candelaria,04011,Hombres,23701
2018,Candelaria,04011,Hombres,24035
2016,Abasolo,05001,Hombres,568
2017,Abasolo,05001,Hombres,571
2018,Abasolo,05001,Hombres,574
2016,Acuña,05002,Hombres,73495
2017,Acuña,05002,Hombres,74390
2018,Acuña,05002,Hombres,75300
2016,Allende,05003,Hombres,12224
2017,Allende,05003,Hombres,12369
2018,Allende,05003,Hombres,12510
2016,Arteaga,05004,Hombres,12658
2017,Arteaga,05004,Hombres,12787
2018,Arteaga,05004,Hombres,12911
2016,Candela,05005,Hombres,974
2017,Candela,05005,Hombres,979
2018,Candela,05005,Hombres,984
2016,Castaños,05006,Hombres,13992
2017,Castaños,05006,Hombres,14136
2018,Castaños,05006,Hombres,14278
2016,Cuatro Ciénegas,05007,Hombres,6918
2017,Cuatro Ciénegas,05007,Hombres,6975
2018,Cuatro Ciénegas,05007,Hombres,7033
2016,Escobedo,05008,Hombres,1553
2017,Escobedo,05008,Hombres,1564
2018,Escobedo,05008,Hombres,1576
2016,Francisco I. Madero,05009,Hombres,29801
2017,Francisco I. Madero,05009,Hombres,30118
2018,Francisco I. Madero,05009,Hombres,30437
2016,Frontera,05010,Hombres,40207
2017,Frontera,05010,Hombres,40619
2018,Frontera,05010,Hombres,41032
2016,General Cepeda,05011,Hombres,6249
2017,General Cepeda,05011,Hombres,6283
2018,General Cepeda,05011,Hombres,6320
2016,Guerrero,05012,Hombres,1166
2017,Guerrero,05012,Hombres,1175
2018,Guerrero,05012,Hombres,1183
2016,Hidalgo,05013,Hombres,1046
2017,Hidalgo,05013,Hombres,1059
2018,Hidalgo,05013,Hombres,1073
2016,Jiménez,05014,Hombres,5206
2017,Jiménez,05014,Hombres,5244
2018,Jiménez,05014,Hombres,5285
2016,Juárez,05015,Hombres,929
2017,Juárez,05015,Hombres,939
2018,Juárez,05015,Hombres,948
2016,Lamadrid,05016,Hombres,984
2017,Lamadrid,05016,Hombres,988
2018,Lamadrid,05016,Hombres,992
2016,Matamoros,05017,Hombres,57021
2017,Matamoros,05017,Hombres,57620
2018,Matamoros,05017,Hombres,58229
2016,Monclova,05018,Hombres,115532
2017,Monclova,05018,Hombres,116691
2018,Monclova,05018,Hombres,117832
2016,Morelos,05019,Hombres,4463
2017,Morelos,05019,Hombres,4513
2018,Morelos,05019,Hombres,4561
2016,Múzquiz,05020,Hombres,35539
2017,Múzquiz,05020,Hombres,35863
2018,Múzquiz,05020,Hombres,36190
2016,Nadadores,05021,Hombres,3398
2017,Nadadores,05021,Hombres,3425
2018,Nadadores,05021,Hombres,3451
2016,Nava,05022,Hombres,15223
2017,Nava,05022,Hombres,15391
2018,Nava,05022,Hombres,15563
2016,Ocampo,05023,Hombres,5990
2017,Ocampo,05023,Hombres,6046
2018,Ocampo,05023,Hombres,6103
2016,Parras,05024,Hombres,23971
2017,Parras,05024,Hombres,24156
2018,Parras,05024,Hombres,24348
2016,Piedras Negras,05025,Hombres,81567
2017,Piedras Negras,05025,Hombres,82452
2018,Piedras Negras,05025,Hombres,83350
2016,Progreso,05026,Hombres,1845
2017,Progreso,05026,Hombres,1858
2018,Progreso,05026,Hombres,1872
2016,Ramos Arizpe,05027,Hombres,45411
2017,Ramos Arizpe,05027,Hombres,46172
2018,Ramos Arizpe,05027,Hombres,46882
2016,Sabinas,05028,Hombres,33543
2017,Sabinas,05028,Hombres,33939
2018,Sabinas,05028,Hombres,34319
2016,Sacramento,05029,Hombres,1274
2017,Sacramento,05029,Hombres,1285
2018,Sacramento,05029,Hombres,1296
2016,Saltillo,05030,Hombres,394336
2017,Saltillo,05030,Hombres,399136
2018,Saltillo,05030,Hombres,403836
2016,San Buenaventura,05031,Hombres,12130
2017,San Buenaventura,05031,Hombres,12258
2018,San Buenaventura,05031,Hombres,12378
2016,San Juan de Sabinas,05032,Hombres,21498
2017,San Juan de Sabinas,05032,Hombres,21661
2018,San Juan de Sabinas,05032,Hombres,21826
2016,San Pedro,05033,Hombres,55262
2017,San Pedro,05033,Hombres,55802
2018,San Pedro,05033,Hombres,56341
2016,Sierra Mojada,05034,Hombres,3756
2017,Sierra Mojada,05034,Hombres,3808
2018,Sierra Mojada,05034,Hombres,3858
2016,Torreón,05035,Hombres,341518
2017,Torreón,05035,Hombres,345532
2018,Torreón,05035,Hombres,349457
2016,Viesca,05036,Hombres,11544
2017,Viesca,05036,Hombres,11660
2018,Viesca,05036,Hombres,11777
2016,Villa Unión,05037,Hombres,3334
2017,Villa Unión,05037,Hombres,3357
2018,Villa Unión,05037,Hombres,3382
2016,Zaragoza,05038,Hombres,6691
2017,Zaragoza,05038,Hombres,6744
2018,Zaragoza,05038,Hombres,6799
2016,Armería,06001,Hombres,16175
2017,Armería,06001,Hombres,16411
2018,Armería,06001,Hombres,16642
2016,Colima,06002,Hombres,79125
2017,Colima,06002,Hombres,80218
2018,Colima,06002,Hombres,81290
2016,Comala,06003,Hombres,11354
2017,Comala,06003,Hombres,11488
2018,Comala,06003,Hombres,11623
2016,Coquimatlán,06004,Hombres,10729
2017,Coquimatlán,06004,Hombres,10880
2018,Coquimatlán,06004,Hombres,11029
2016,Cuauhtémoc,06005,Hombres,14379
2017,Cuauhtémoc,06005,Hombres,14533
2018,Cuauhtémoc,06005,Hombres,14689
2016,Ixtlahuacán,06006,Hombres,2961
2017,Ixtlahuacán,06006,Hombres,2997
2018,Ixtlahuacán,06006,Hombres,3031
2016,Manzanillo,06007,Hombres,91913
2017,Manzanillo,06007,Hombres,93440
2018,Manzanillo,06007,Hombres,94932
2016,Minatitlán,06008,Hombres,4551
2017,Minatitlán,06008,Hombres,4607
2018,Minatitlán,06008,Hombres,4663
2016,Tecomán,06009,Hombres,63677
2017,Tecomán,06009,Hombres,64674
2018,Tecomán,06009,Hombres,65659
2016,Villa de Álvarez,06010,Hombres,67688
2017,Villa de Álvarez,06010,Hombres,68954
2018,Villa de Álvarez,06010,Hombres,70178
2016,Acacoyagua,07001,Hombres,9382
2017,Acacoyagua,07001,Hombres,9483
2018,Acacoyagua,07001,Hombres,9580
2016,Acala,07002,Hombres,15922
2017,Acala,07002,Hombres,16074
2018,Acala,07002,Hombres,16220
2016,Acapetahua,07003,Hombres,15572
2017,Acapetahua,07003,Hombres,15732
2018,Acapetahua,07003,Hombres,15881
2016,Altamirano,07004,Hombres,17090
2017,Altamirano,07004,Hombres,17336
2018,Altamirano,07004,Hombres,17577
2016,Amatán,07005,Hombres,11665
2017,Amatán,07005,Hombres,11784
2018,Amatán,07005,Hombres,11906
2016,Amatenango de la Frontera,07006,Hombres,16392
2017,Amatenango de la Frontera,07006,Hombres,16595
2018,Amatenango de la Frontera,07006,Hombres,16791
2016,Amatenango del Valle,07007,Hombres,4384
2017,Amatenango del Valle,07007,Hombres,4429
2018,Amatenango del Valle,07007,Hombres,4476
2016,Angel Albino Corzo,07008,Hombres,13432
2017,Angel Albino Corzo,07008,Hombres,13516
2018,Angel Albino Corzo,07008,Hombres,13615
2016,Arriaga,07009,Hombres,20683
2017,Arriaga,07009,Hombres,20816
2018,Arriaga,07009,Hombres,20947
2016,Bejucal de Ocampo,07010,Hombres,4239
2017,Bejucal de Ocampo,07010,Hombres,4279
2018,Bejucal de Ocampo,07010,Hombres,4319
2016,Bella Vista,07011,Hombres,10368
2017,Bella Vista,07011,Hombres,10470
2018,Bella Vista,07011,Hombres,10573
2016,Berriozábal,07012,Hombres,25192
2017,Berriozábal,07012,Hombres,25561
2018,Berriozábal,07012,Hombres,25908
2016,Bochil,07013,Hombres,16957
2017,Bochil,07013,Hombres,17176
2018,Bochil,07013,Hombres,17394
2016,El Bosque,07014,Hombres,10670
2017,El Bosque,07014,Hombres,10846
2018,El Bosque,07014,Hombres,11017
2016,Cacahoatán,07015,Hombres,23159
2017,Cacahoatán,07015,Hombres,23376
2018,Cacahoatán,07015,Hombres,23594
2016,Catazajá,07016,Hombres,9412
2017,Catazajá,07016,Hombres,9470
2018,Catazajá,07016,Hombres,9525
2016,Cintalapa,07017,Hombres,42024
2017,Cintalapa,07017,Hombres,42368
2018,Cintalapa,07017,Hombres,42712
